Mode,Tier,Map,Hero,Role,Win Rate (%),Pick Rate (%)
Quick Play,All,all-maps,Ana,SUPPORT,46.9,38.1
Quick Play,All,all-maps,Anran,DAMAGE,52.0,12.9
Quick Play,All,all-maps,Ashe,DAMAGE,50.4,11.8
Quick Play,All,all-maps,Baptiste,SUPPORT,46.2,6.0
Quick Play,All,all-maps,Bastion,DAMAGE,48.8,9.9
Quick Play,All,all-maps,Brigitte,SUPPORT,49.8,3.6
Quick Play,All,all-maps,Cassidy,DAMAGE,46.9,19.5
Quick Play,All,all-maps,D.Va,TANK,46.7,8.5
Quick Play,All,all-maps,Domina,TANK,52.6,12.7
Quick Play,All,all-maps,Doomfist,TANK,49.6,9.4
Quick Play,All,all-maps,Echo,DAMAGE,50.9,5.4
Quick Play,All,all-maps,Emre,DAMAGE,49.9,18.6
Quick Play,All,all-maps,Freja,DAMAGE,46.0,5.2
Quick Play,All,all-maps,Genji,DAMAGE,49.9,11.2
Quick Play,All,all-maps,Hanzo,DAMAGE,49.4,7.0
Quick Play,All,all-maps,Hazard,TANK,52.1,3.2
Quick Play,All,all-maps,Illari,SUPPORT,54.2,8.7
Quick Play,All,all-maps,Jetpack Cat,SUPPORT,49.5,13.0
Quick Play,All,all-maps,Junker Queen,TANK,53.0,3.1
Quick Play,All,all-maps,Junkrat,DAMAGE,51.4,7.7
Quick Play,All,all-maps,Juno,SUPPORT,50.6,13.4
Quick Play,All,all-maps,Kiriko,SUPPORT,47.7,34.1
Quick Play,All,all-maps,Lifeweaver,SUPPORT,47.6,6.3
Quick Play,All,all-maps,Lúcio,SUPPORT,51.5,6.3
Quick Play,All,all-maps,Mauga,TANK,50.0,4.6
Quick Play,All,all-maps,Mei,DAMAGE,55.9,8.1
Quick Play,All,all-maps,Mercy,SUPPORT,47.3,9.5
Quick Play,All,all-maps,Mizuki,SUPPORT,54.0,21.4
Quick Play,All,all-maps,Moira,SUPPORT,50.3,15.2
Quick Play,All,all-maps,Orisa,TANK,46.6,10.1
Quick Play,All,all-maps,Pharah,DAMAGE,52.0,5.4
Quick Play,All,all-maps,Ramattra,TANK,48.7,6.1
Quick Play,All,all-maps,Reaper,DAMAGE,53.0,10.0
Quick Play,All,all-maps,Reinhardt,TANK,51.8,7.9
Quick Play,All,all-maps,Roadhog,TANK,48.7,8.8
Quick Play,All,all-maps,Sigma,TANK,52.6,9.3
Quick Play,All,all-maps,Sojourn,DAMAGE,44.5,12.4
Quick Play,All,all-maps,Soldier: 76,DAMAGE,48.6,14.9
Quick Play,All,all-maps,Sombra,DAMAGE,47.6,6.3
Quick Play,All,all-maps,Symmetra,DAMAGE,56.8,3.4
Quick Play,All,all-maps,Torbjörn,DAMAGE,56.5,4.0
Quick Play,All,all-maps,Tracer,DAMAGE,49.3,8.1
Quick Play,All,all-maps,Vendetta,DAMAGE,51.8,10.7
Quick Play,All,all-maps,Venture,DAMAGE,52.4,2.8
Quick Play,All,all-maps,Widowmaker,DAMAGE,46.3,4.5
Quick Play,All,all-maps,Winston,TANK,51.4,6.6
Quick Play,All,all-maps,Wrecking Ball,TANK,49.8,3.3
Quick Play,All,all-maps,Wuyang,SUPPORT,52.1,14.0
Quick Play,All,all-maps,Zarya,TANK,48.4,6.4
Quick Play,All,all-maps,Zenyatta,SUPPORT,54.1,10.4
Quick Play,All,ilios,Ana,SUPPORT,46.0,32.3
Quick Play,All,ilios,Anran,DAMAGE,52.1,13.8
Quick Play,All,ilios,Ashe,DAMAGE,48.2,8.7
Quick Play,All,ilios,Baptiste,SUPPORT,44.2,5.3
Quick Play,All,ilios,Bastion,DAMAGE,48.6,8.9
Quick Play,All,ilios,Brigitte,SUPPORT,51.5,4.8
Quick Play,All,ilios,Cassidy,DAMAGE,46.7,21.2
Quick Play,All,ilios,D.Va,TANK,47.6,9.1
Quick Play,All,ilios,Domina,TANK,51.2,10.2
Quick Play,All,ilios,Doomfist,TANK,48.4,9.5
Quick Play,All,ilios,Echo,DAMAGE,52.4,7.5
Quick Play,All,ilios,Emre,DAMAGE,48.8,16.0
Quick Play,All,ilios,Freja,DAMAGE,46.1,5.0
Quick Play,All,ilios,Genji,DAMAGE,50.1,11.2
Quick Play,All,ilios,Hanzo,DAMAGE,48.2,5.2
Quick Play,All,ilios,Hazard,TANK,53.0,3.3
Quick Play,All,ilios,Illari,SUPPORT,52.6,6.6
Quick Play,All,ilios,Jetpack Cat,SUPPORT,52.6,18.8
Quick Play,All,ilios,Junker Queen,TANK,53.3,3.1
Quick Play,All,ilios,Junkrat,DAMAGE,51.8,7.6
Quick Play,All,ilios,Juno,SUPPORT,50.3,12.9
Quick Play,All,ilios,Kiriko,SUPPORT,47.5,33.1
Quick Play,All,ilios,Lifeweaver,SUPPORT,45.9,6.8
Quick Play,All,ilios,Lúcio,SUPPORT,55.4,12.9
Quick Play,All,ilios,Mauga,TANK,48.6,4.3
Quick Play,All,ilios,Mei,DAMAGE,53.6,7.3
Quick Play,All,ilios,Mercy,SUPPORT,48.1,8.9
Quick Play,All,ilios,Mizuki,SUPPORT,53.7,21.3
Quick Play,All,ilios,Moira,SUPPORT,49.3,16.0
Quick Play,All,ilios,Orisa,TANK,47.9,11.2
Quick Play,All,ilios,Pharah,DAMAGE,54.7,9.2
Quick Play,All,ilios,Ramattra,TANK,48.6,4.7
Quick Play,All,ilios,Reaper,DAMAGE,54.4,12.1
Quick Play,All,ilios,Reinhardt,TANK,52.1,6.4
Quick Play,All,ilios,Roadhog,TANK,52.3,16.7
Quick Play,All,ilios,Sigma,TANK,49.3,5.8
Quick Play,All,ilios,Sojourn,DAMAGE,44.7,10.4
Quick Play,All,ilios,Soldier: 76,DAMAGE,47.3,14.2
Quick Play,All,ilios,Sombra,DAMAGE,47.6,6.8
Quick Play,All,ilios,Symmetra,DAMAGE,56.3,3.6
Quick Play,All,ilios,Torbjörn,DAMAGE,54.8,3.3
Quick Play,All,ilios,Tracer,DAMAGE,49.3,9.1
Quick Play,All,ilios,Vendetta,DAMAGE,52.7,11.7
